
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
0E:7F:B2:60:98:DA, 2026-09-08 02:03:01, 2026-09-08 02:03:30,  6, 260, OPN, ,   , -85,        5,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
B0:F2:08:60:80:CA, 2026-09-08 02:03:01, 2026-09-08 02:03:27,  6, 360, WPA2, CCMP, PSK, -82,       10,        3,   0.  0.  0.  0,  17, FRITZ!Box 7510 UH, 
3C:37:12:E7:96:AE, 2026-09-08 02:03:01, 2026-09-08 02:03:27,  6, 130, WPA2, CCMP, PSK, -74,       10,        9,   0.  0.  0.  0,  16, Villa Kunterbunt, 
DC:39:6F:78:73:0D, 2026-09-08 02:03:01, 2026-09-08 02:03:27,  6, 360, WPA2, CCMP, PSK, -79,        6,        3,   0.  0.  0.  0,  20, FRITZ!Box NS 7530 FR, 
E8:DF:70:3D:8B:9C, 2026-09-08 02:03:01, 2026-09-08 02:03:27,  1, 195, WPA2, CCMP, PSK, -70,       19,        0,   0.  0.  0.  0,  14, FRITZ!Box 7490, 
A8:A2:37:F1:71:9E, 2026-09-08 02:03:01, 2026-09-08 02:03:29,  1, 260, WPA2, CCMP, PSK, -46,       65,       24,   0.  0.  0.  0,  16, MagentaWLAN-VYCT, 
FA:5E:42:22:A5:D4, 2026-09-08 02:03:01, 2026-09-08 02:03:30, 11, 195, OPN, ,   , -71,       35,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
EC:A9:40:6F:1A:AD, 2026-09-08 02:03:01, 2026-09-08 02:03:30, 11, 195, WPA2, CCMP, PSK, -61,       64,       11,   0.  0.  0.  0,  13, Vodafone-8F42, 
1C:9D:72:62:70:80, 2026-09-08 02:03:02, 2026-09-08 02:03:28,  6, 260, WPA2, CCMP, PSK, -84,        8,        0,   0.  0.  0.  0,  13, Vodafone-707C, 
4E:12:65:03:8F:3A, 2026-09-08 02:03:02, 2026-09-08 02:03:30,  3, 195, OPN, ,   , -77,       28,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
4C:12:65:03:8F:6A, 2026-09-08 02:03:02, 2026-09-08 02:03:28,  3, 195, WPA2, CCMP, PSK, -77,       27,        4,   0.  0.  0.  0,  13, Vodafone-EB5E, 
4E:12:65:03:8F:1A, 2026-09-08 02:03:02, 2026-09-08 02:03:29,  3, 195, OPN, ,   , -77,       36,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
F8:5E:42:22:A5:D0, 2026-09-08 02:03:02, 2026-09-08 02:03:30, 11, 195, WPA2, CCMP, PSK, -77,       25,        1,   0.  0.  0.  0,  13, Vodafone-A5CC, 
EE:A9:40:6F:1A:9D, 2026-09-08 02:03:03, 2026-09-08 02:03:30, 11, 195, OPN, ,   , -66,       70,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
FA:5E:42:22:A5:D2, 2026-09-08 02:03:03, 2026-09-08 02:03:30, 11, 195, OPN, ,   , -75,       28,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
EE:A9:40:6F:1A:BD, 2026-09-08 02:03:03, 2026-09-08 02:03:30, 11, 195, OPN, ,   , -66,       67,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
3E:5C:C4:1E:21:4F, 2026-09-08 02:03:04, 2026-09-08 02:03:30, 11, 130, WPA2, CCMP, PSK, -55,       17,        0,   0.  0.  0.  0,  21, , 
0C:7F:B2:AC:9F:E0, 2026-09-08 02:03:04, 2026-09-08 02:03:30, 11, 540, WPA2, CCMP, PSK, -71,       18,        0,   0.  0.  0.  0,  13, Vodafone-D980, 
0E:7F:B2:AC:9F:E2, 2026-09-08 02:03:04, 2026-09-08 02:03:30, 11, 540, OPN, ,   , -71,       18,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
0E:7F:B2:AC:9F:E4, 2026-09-08 02:03:04, 2026-09-08 02:03:30, 11, 540, OPN, ,   , -71,       19,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
50:E6:36:B3:0E:6A, 2026-09-08 02:03:04, 2026-09-08 02:03:19, 11,  -1, WPA, ,   , -89,        0,        8,   0.  0.  0.  0,   0, , 
84:90:0A:6E:A9:DE, 2026-09-08 02:03:04, 2026-09-08 02:03:30, 11, 260, WPA3 WPA2, CCMP, SAE PSK, -86,       10,        0,   0.  0.  0.  0,  16, MagentaWLAN-YSJ6, 
04:B4:FE:11:4F:FA, 2026-09-08 02:03:04, 2026-09-08 02:03:30, 11, 360, WPA2, CCMP, PSK, -86,       14,        0,   0.  0.  0.  0,  17, FRITZ!Box 7520 UL, 
